Rank,Design Purpose,Reaction Type,Strategy,Æò±Õ Á¡¼ö
1,Special,External Based,Cheater,267.6001195
2,Cooperation,Reactive,DynamicTitForTat,251.5462289
3,Cooperation,History Aware,DiscountFactor,264.4713042
4,Cooperation,History Aware,Saint,257.1283231
5,Cooperation,Reactive,TitForTatLastDefect,246.7842289
6,Defection,History Aware,ShadowDefect,258.1307871
7,Adaption,History Aware,ProbabilisticWeightedTitForTat,243.2010966
8,Cooperation,Reactive,ContriteTitForTat,243.0031585
9,Adaption,History Aware,ProbabilisticTitForTat,243.0390322
10,Cooperation,Reactive,TitForTat,246.7379904
11,Adaption,History Aware,Predictor,265.6994658
12,Adaption,Reactive,Pavlov,246.8605616
13,Punishment,Reactive,EnhancedTitForTat,249.047149
14,Cooperation,Reactive,ForgivingTitForTat,246.4087117
15,Cooperation,History Aware,GuidingCooperator,239.4210081
16,Cooperation,Reactive,OmegaTitForTat,234.7873267
17,Cooperation,Reactive,SlowTitForTat,234.29487
18,Punishment,History Aware,Debt,244.6708655
19,Cooperation,Reactive,PeacefulTitForTat,235.0889408
20,Punishment,Reactive,TwoTitsForTat,234.8893846
21,Punishment,History Aware,Shepherd,237.4777284
22,Punishment,Reactive,Gradual,249.6647554
23,Punishment,History Aware,GrimTrigger,246.726999
24,Defection,History Aware,Opportunist,229.4972992
25,Adaption,History Aware,StereoType,232.8034276
26,Punishment,Reactive,HardTitForTat,230.4718297
27,Cooperation,Self-Oriented,GoodPerson,220.0107973
28,Special,Self-Oriented,AlternateCooperate,221.1134005
29,Punishment,Reactive,GlassMind,228.0152458
30,Cooperation,Reactive,NoisyTitForTat,219.7514347
31,Special,External Based,Gambler,225.978149
32,Defection,History Aware,DeceptiveAdaptation,220.4137499
33,Special,External Based,Grasshopper,215.7027582
34,Adaption,History Aware,BinaryThinker,214.3144697
35,Adaption,History Aware,Mutation,213.4030685
36,Defection,Reactive,GreedTitForTat,214.4605201
37,Adaption,Reactive,ConditionalCommitment,214.401666
38,Defection,History Aware,Predator,217.489477
39,Special,History Aware,CollectiveResponsibility,217.906038
40,Defection,Self-Oriented,AlwaysDefect,218.7475225
41,Adaption,Reactive,OpponentTester,213.458436
42,Adaption,Reactive,Merchant,211.6656159
43,Defection,History Aware,HandOfGod,210.2770491
44,Special,Self-Oriented,RandomStrategy,211.2344497
45,Adaption,History Aware,ScammerTester,210.6956865
46,Punishment,History Aware,MutualDesturction,207.4732375
47,Punishment,Reactive,SuspiciousTitForTat,209.5431393
48,Adaption,Reactive,Troller,209.7770146
49,Defection,Self-Oriented,BadPerson,212.7076673
50,Special,Self-Oriented,AlternateDefect,209.602128
51,Defection,Reactive,ConditionalForgiver,212.8728411
52,Special,External Based,RobinHood,207.6392968
53,Special,External Based,Flatterer,212.4713036
54,Defection,History Aware,Tranquilizer,207.3002888
55,Cooperation,Self-Oriented,AlwaysCooperate,205.6302218
56,Adaption,History Aware,PatternBreaker,205.2108459
57,Punishment,History Aware,ReverseGrimTrigger,194.754386
