Game,교대 협력자 하루,교대 배신자 이로하,순수한 협력가 카나에,냉혈한 배신자 아카네,나쁜 사람 미루,이분법자 츠바사,사기캐 시유,연대책임론자 안즈,상황을 판단하려 드는 아이리스,보복을 두려워하는 배신자 사라,사과할줄 아는 루나,빚을 잊지 않는 아이코,정제된 광기 히카리,계산적인 장사꾼 이치카,자애로운 협력가 리나,생각하는 보복가 카즈하,약육강식 노엘,용서하는 자 모모,도박사 키리코,감정적인 유리멘탈 치카코,좋은 사람 세리,신중한 보복가 미카,즉흥적인 배짱이 하루카,탐욕적인 기회주의자 레이나,복수의 사도 카오리,협력 유도자 스즈메,철저한 분석가 나나세,뒷끝있는 협력자 키누에,반동분자 유리,진화하는 히토미,분탕종자 레이,기분파 인간 아이,전략적 판단가 니코,성향 시험자 아리스,교활한 인간 린,패턴 파괴자 우이,과거를 기억하는 미나,화해를 원하는 모네,영악한 착취자 아스나,위대한 예언가 유키카,확률적 협력가 유즈키,최근을 더 고려하는 리츠,미친 변덕쟁이 미유,의심을 거두는 아오이,붉은 혁명 루카리,인내하는 카렌,첫 인상만 보는 하츠네,지능형 배신자 사오리,가차없는 코노하,선입견에 가득 찬 니카,고뇌하는 협력가 마리,교활한 협력가 나츠키,정석적인 인간 아야메,실리주의자 사에,비열한 사기꾼 히나코,멍텅구리 치히로,두 배로 응징하는 미호
1,3905.04,3824.60,3415.56,4266.70,3997.76,3787.18,4526.36,4258.44,3792.46,3932.98,3478.10,3983.18,3969.70,4067.68,3821.62,3725.82,3934.88,3756.64,4282.56,4048.08,3674.60,4348.54,3879.22,3892.74,4311.94,3600.56,4054.20,4011.26,3896.60,3825.26,3667.46,3893.20,3463.44,3898.68,3966.86,3580.48,3888.98,3809.36,4267.74,3962.10,3492.02,3495.54,3855.32,3412.26,3823.92,3738.18,3823.82,3915.86,4023.20,3898.38,3452.48,3765.46,3874.52,3879.44,3456.08,3815.62,3926.88
2,3809.56,3711.50,3329.88,4174.06,3902.68,3688.40,4401.90,4155.22,3696.10,3836.38,3413.16,3886.80,3858.04,3994.60,3742.86,3643.06,3783.02,3671.28,4171.04,3959.80,3607.56,4238.70,3770.58,3802.82,4199.72,3526.38,3964.22,3916.58,3782.98,3774.66,3567.78,3793.50,3368.96,3825.42,3814.98,3473.78,3799.82,3732.10,4169.00,3863.54,3409.46,3420.38,3736.38,-,3715.84,3659.26,3745.14,3829.84,3924.28,3793.94,3382.32,3690.62,3773.86,3770.24,3363.44,3717.80,3865.10
3,3718.28,3628.62,-,4017.72,3790.10,3624.00,4253.44,4015.10,3614.72,3727.88,3324.00,3806.90,3760.54,3915.44,3658.46,3565.00,3597.44,3579.28,4057.96,3878.58,3523.74,4119.00,3674.90,3707.38,4110.00,3455.70,3846.10,3840.70,3680.32,3656.86,3471.50,3698.88,3281.72,3715.78,3722.84,3396.40,3703.66,3631.04,4050.24,3796.60,3327.32,3303.12,3652.70,-,3624.84,3587.42,3644.90,3731.88,3820.98,3665.96,3286.68,3599.80,3690.54,3696.64,3305.12,3626.40,3761.92
4,3602.02,3521.60,-,3909.36,3676.46,3536.64,4136.00,3899.78,3532.94,3575.36,3229.32,3721.48,3656.32,3822.26,3575.12,3476.96,3477.72,3491.58,3917.92,3771.90,3417.60,4010.66,3588.96,3608.16,3984.54,3347.32,3750.66,3736.16,3553.30,3547.26,3394.06,3596.60,-,3553.96,3599.26,3290.60,3619.96,3551.34,3925.80,3708.22,3237.68,3245.10,3539.38,-,3525.44,3499.82,3537.46,3638.68,3737.88,3578.96,3199.48,3505.82,3609.94,3610.12,3199.64,3525.30,3673.84
5,3516.94,3416.14,-,3796.98,3559.92,3455.16,4017.00,3764.90,3440.56,3464.84,3140.46,3630.46,3562.34,3740.88,3473.56,3397.50,3343.40,3412.40,3793.30,3689.30,3303.24,3876.96,3479.86,3520.80,3864.94,3289.42,3649.80,3621.26,3447.42,3454.00,3284.46,3500.32,-,3430.04,3493.30,3181.76,3523.94,3460.48,3787.62,3617.76,3165.18,3150.30,3445.48,-,3432.80,3423.50,3453.48,3560.36,3649.20,3516.26,-,3420.30,3519.38,3522.52,3105.38,3430.24,3592.82
6,3411.00,3297.60,-,3651.38,3441.58,3367.70,3945.70,3643.40,3349.10,3358.86,3073.48,3542.60,3431.78,3660.08,3399.96,3309.06,3187.82,3310.70,3652.68,3573.70,3228.40,3769.36,3373.46,3412.88,3732.82,3194.76,3534.00,3548.70,3307.22,3333.28,3211.72,3409.86,-,3329.74,3381.68,3088.34,3449.48,3369.94,3630.38,3537.08,3080.38,3057.58,3329.34,-,3316.62,3330.72,3331.20,3454.70,3568.54,3429.96,-,3337.82,3422.84,3426.88,-,3340.72,3476.52
7,3302.38,3226.38,-,3514.32,3329.02,3272.86,3833.56,3510.02,3264.84,3237.50,3000.96,3451.88,3333.18,3561.82,3297.24,3218.28,3103.44,3227.96,3536.50,3469.06,3117.30,3632.26,3270.08,3335.34,3630.20,3087.30,3413.00,3471.84,3197.00,3256.64,3108.26,3323.78,-,3202.04,3266.72,3000.80,3357.36,3287.14,3514.10,3447.64,2970.70,-,3232.36,-,3230.10,3247.18,3211.74,3346.80,3476.74,3318.54,-,3214.86,3340.16,3352.68,-,3238.56,3387.02
8,3198.44,3069.32,-,3387.88,3193.40,3191.62,3750.64,3369.54,3143.46,3116.00,2891.52,3355.96,3215.82,3498.74,3209.82,3124.26,2965.76,3140.24,3406.82,3378.60,3040.18,3516.88,3156.34,3233.58,3518.80,3011.84,3289.12,3338.78,3073.78,3137.44,2999.32,3205.92,-,3082.98,3141.02,2914.22,3281.30,3187.50,3372.66,3342.64,-,-,3101.28,-,3094.74,3149.86,3129.18,3262.50,3378.86,3235.18,-,3133.80,3250.56,3263.02,-,3143.96,3288.42
9,3064.60,2976.04,-,3227.72,3090.42,3109.76,3676.08,3243.24,3093.00,2973.94,-,3279.06,3124.20,3408.44,3128.14,3039.84,2868.88,3051.92,3232.92,3252.96,2941.62,3405.12,3023.14,3141.58,3397.76,2912.84,3207.26,3237.56,2953.62,3031.10,2919.94,3120.34,-,2936.56,3001.52,2809.84,3184.64,3071.48,3233.90,3260.42,-,-,2997.28,-,2981.80,3054.64,3012.68,3152.70,3269.50,3123.40,-,3029.66,3162.92,3155.80,-,3038.80,3216.42
10,2981.32,2883.26,-,3110.78,2960.14,3035.04,3521.30,3119.76,3013.40,2876.20,-,3182.36,3013.76,3307.32,3053.48,2967.36,2723.44,2990.92,3126.56,3185.80,2855.84,3307.42,2967.54,3058.28,3295.96,2877.72,3100.12,3136.04,2858.24,2921.96,2856.12,3047.02,-,2810.08,2900.72,-,3088.52,3017.30,3115.40,3202.62,-,-,2920.18,-,2902.02,2993.68,2925.92,3072.26,3183.10,3059.02,-,2959.06,3081.74,3079.62,-,2950.74,3125.78
